Date,GSPC_Price,GSPC_Log_Ret,GSPC_Variance,GLD_Price,GLD_Log_Ret,GLD_Variance,SLV_Price,SLV_Log_Ret,SLV_Variance,CL_Price,CL_Log_Ret,CL_Variance,META_Price,META_Log_Ret,META_Variance,TSLA_Price,TSLA_Log_Ret,TSLA_Variance,NVDA_Price,NVDA_Log_Ret,NVDA_Variance,AAPL_Price,AAPL_Log_Ret,AAPL_Variance,MSTR_Price,MSTR_Log_Ret,MSTR_Variance
4/14/2016,2082.780029296875,0.017291243013242585,0.000298987,117.11000061035156,-1.407515226,1.9810991103432114,15.34000015258789,-0.649771153,0.42220255168849147,41.5,-0.624547614,0.3900597227226102,110.07111358642578,0.29816558379792985,0.088902715,16.790666580200195,-1.054530004,1.1120335288396692,0.9018965363502502,0.2718194306492066,0.073885803,25.388458251953125,0.053549552762679455,0.002867555,18.795000076293945,0.4693056556353589,0.2202477984113341
4/15/2016,2080.72998,-0.098476958,0.009697711,117.91999816894531,0.6892743647260424,0.47509914986848933,15.460000038146973,0.7792239740569079,0.6071900017450407,40.36000061035156,-2.785421663,7.7585738399072675,108.87944030761719,-1.088542618,1.1849250313467434,16.96733283996582,1.0466726443964265,1.0955236245278082,0.9089962244033813,0.784113183,0.6148334829944477,24.878875732421875,-2.027559198,4.110996300570833,18.617000579833984,-0.951570814,0.9054870141034637
4/18/2016,2094.340087890625,0.6519725613797989,0.4250682207921356,117.73999786376953,-0.152762746,0.023336456,15.420000076293945,-0.259067254,0.067115842,39.779998779296875,-1.447496787,2.095246947975917,109.68382263183594,0.7360669356293892,0.5417945337268394,16.92533302307129,-0.247840276,0.061424803,0.905079186,-0.431850242,0.18649463183860485,24.342119216918945,-2.181092822,4.7571659003180695,18.825000762939453,1.111064127878542,1.2344634962585053
4/19/2016,2100.800048828125,0.3079737902866533,0.094847856,119.58000183105469,1.5506833308651098,2.4046187926229114,16.12000084,4.4395416057196035,19.709529668915394,41.08000183105469,3.2157186893782885,10.340846689216818,111.51107025146484,1.6521983503691366,2.7297593889624965,16.49133301,-2.597652436,6.747798176120829,0.8889212608337402,-1.801377707,3.2449616443204454,24.21302604675293,-0.531739628,0.28274703171620774,18.934999465942383,0.5826218935023503,0.339448271
4/20/2016,2102.399902,0.076125505,0.005795092,118.97000122070312,-0.511424802,0.2615553277028429,16.139999389648438,0.12398358856139174,0.01537193,42.630001068115234,3.7036826199346082,13.717264949205683,111.6401596069336,0.11569675860653222,0.013385739952058188,16.66466713,1.0455766684840657,1.0932305696782378,0.8923487067222595,0.3848321906129545,0.14809581493196533,24.262853622436523,0.20557685006235543,0.042261841281560165,18.827999114990234,-0.566695662,0.3211439727694289
4/21/2016,2091.47998,-0.520756286,0.27118710912647576,119.41999816894531,0.3775305036917395,0.14252928121773856,16.209999084472656,0.4327654242693179,0.18728591244300274,43.18000030517578,1.2819176321585875,1.6433128156390795,112.65308380126953,0.9032203245981099,0.815806955,16.55266761779785,-0.674346313,0.4547429504303245,0.8913695216178894,-0.109791467,0.012054166169632024,24.00012779,-1.088736823,1.1853478695930875,18.826000213623047,-0.010617206,0.000112725
4/22/2016,2091.580078,0.004785858,2.2904436356575554e-05,117.88999938964844,-1.289469466,1.6627315035423884,16.139999389648438,-0.432765424,0.18728591244299994,43.72999954223633,1.265692280268672,1.6019769483317108,109.79305267333984,-2.571578705,6.613017037439378,16.916667938232422,2.175213022069696,4.731551691,0.8879421353340149,-0.385249038,0.1484168214681826,23.934459686279297,-0.273990664,0.075070884,19.18000030517578,1.8629180894174555,3.4704638078787826
4/25/2016,2087.790039,-0.181368962,0.0328947,118.2300033569336,0.28799271415296557,0.082939803,16.170000076293945,0.18570532815356358,0.034486469,42.63999938964844,-2.524158941,6.3713783611195405,109.33625030517578,-0.416925554,0.1738269173184364,16.788000106811523,-0.763505259,0.5829402799884973,0.8923487067222595,0.49504050498757796,0.2450651015783562,23.798564910888672,-0.569396738,0.32421264545797884,18.549999237060547,-3.339833744,11.154489438767555
4/26/2016,2091.699951171875,0.18710001742369306,0.035006416519946244,118.69999694824219,0.3967367637514969,0.15740005971201107,16.290000915527344,0.739380051,0.5466828595946321,44.040000915527344,3.2305567099492074,10.436496656197848,108.00553894042969,-1.224548669,1.499519441788775,16.916000366210938,0.7595589425314437,0.5769297871794851,0.8930830359458923,0.082257893,0.006766361,23.633235931396484,-0.697125752,0.48598431350154836,18.982999801635742,2.3074083434199197,5.3241332632838585
4/27/2016,2095.149902,0.16479941117468402,0.027158846,119.04000091552734,0.2860302869919961,0.081813325,16.37999916,0.5509548373918317,0.3035512328454597,45.33000183105469,2.887077270361954,8.335215165,108.13463592529297,0.11945673708755242,0.014269912,16.764667510986328,-0.898639387,0.8075527474321684,0.9134028553962708,2.2497464928745545,5.061359282201358,22.154319763183594,-6.462152284,41.75941213742497,18.996999740600586,0.073722695,0.005435036
