index,Date,Close,Return,Volatility
22,2006-02-06,1265.02001953125,0.0007832015153355076,0.006191410204983906
23,2006-02-07,1254.780029296875,-0.008094725835381955,0.006410315644030835
24,2006-02-08,1265.6500244140625,0.008662869079354651,0.00635701890917853
25,2006-02-09,1263.780029296875,-0.001477497792530147,0.006283834480609323
26,2006-02-10,1266.989990234375,0.002539968082329924,0.006326387679617845
27,2006-02-13,1262.8599853515625,-0.003259698114938203,0.006272790609460553
28,2006-02-14,1275.530029296875,0.010032817645881265,0.0065871182305013735
29,2006-02-15,1280.0,0.003504402562430453,0.006631107605568113
30,2006-02-16,1289.3800048828125,0.0073281288146973544,0.006774872684646903
31,2006-02-17,1287.239990234375,-0.0016597237744756521,0.006726267638367339
32,2006-02-21,1283.030029296875,-0.003270533054782976,0.006663704616874254
33,2006-02-22,1292.6700439453125,0.007513475466915054,0.005456891421071441
34,2006-02-23,1287.7900390625,-0.0037751357399127272,0.005552263950250348
35,2006-02-24,1289.4300537109375,0.0012735108974994969,0.005542585397513408
36,2006-02-27,1294.1199951171875,0.0036372204857118007,0.005543451786990819
37,2006-02-28,1280.6600341796875,-0.010400860034838644,0.005873479234334572
38,2006-03-01,1291.239990234375,0.008261330698481784,0.005904612428182911
39,2006-03-02,1289.1400146484375,-0.0016263247744955356,0.005914880373750009
40,2006-03-03,1287.22998046875,-0.0014816343903563123,0.0058555068710933475
41,2006-03-06,1278.260009765625,-0.006968428982565,0.006040914668051054
42,2006-03-07,1275.8800048828125,-0.0018619098341728924,0.00572070686022979
43,2006-03-08,1278.469970703125,0.0020299446737943594,0.005594603291342654
44,2006-03-09,1272.22998046875,-0.0048808265953584895,0.005711565769102433
45,2006-03-10,1281.4200439453125,0.007223586629499623,0.005574854968415331
46,2006-03-13,1284.1300048828125,0.002114810791593591,0.00531325096799605
47,2006-03-14,1297.47998046875,0.01039612464094386,0.005675174307322655
48,2006-03-15,1303.02001953125,0.004269845505052494,0.005706343954178389
