Date,Close,High,Low,Open,Volume,Log_Returns
2001-01-02 00:00:00-05:00,9.5,10.0,9.25,9.5625,669300,
2001-01-03 00:00:00-05:00,10.9375,11.25,9.3125,9.5,988600,0.14090545307723773
2001-01-04 00:00:00-05:00,10.5625,11.375,10.4375,10.90625,605800,-0.03488725900044055
2001-01-05 00:00:00-05:00,9.5625,10.625,9.5,10.625,561600,-0.09946079353063805
2001-01-08 00:00:00-05:00,9.5,10.375,9.0625,9.953125,588800,-0.006557400546159052
2001-01-09 00:00:00-05:00,9.875,10.25,9.53125,9.53125,402400,0.03871451218069043
2001-01-10 00:00:00-05:00,11.625,11.75,9.6875,9.875,1058900,0.1631516406862345
2001-01-11 00:00:00-05:00,14.0625,14.25,11.125,11.375,1697700,0.19035372849121893
2001-01-12 00:00:00-05:00,15.0,15.125,12.9375,14.0,1886500,0.06453852113757116
2001-01-16 00:00:00-05:00,13.8125,14.875,13.75,14.875,615900,-0.08247622182423854
2001-01-17 00:00:00-05:00,14.875,15.4375,13.75,14.5625,730000,0.07410797215372183
2001-01-18 00:00:00-05:00,14.6875,15.0,14.375,14.625,277300,-0.012685159527315687
2001-01-19 00:00:00-05:00,14.5625,15.4375,14.25,15.1875,1095100,-0.008547060578458408
2001-01-22 00:00:00-05:00,15.8125,16.1875,14.0,14.625,920900,0.08235103516181963
2001-01-23 00:00:00-05:00,16.0,16.0625,14.875,15.6875,396200,0.011787955752042173
2001-01-24 00:00:00-05:00,15.8125,16.75,15.5625,16.1875,670700,-0.01178795575204224
2001-01-25 00:00:00-05:00,15.25,15.9375,15.0,15.9375,354200,-0.03622126343431838
2001-01-26 00:00:00-05:00,15.5,15.625,13.5625,14.875,541000,0.016260520871780326
2001-01-29 00:00:00-05:00,15.375,16.0,14.8125,15.53125,299300,-0.008097210232619362
2001-01-30 00:00:00-05:00,16.8125,17.0,15.0,15.375,558600,0.08937984366947631
2001-01-31 00:00:00-05:00,16.8125,18.0,16.5625,17.0,810300,0.0
2001-02-01 00:00:00-05:00,17.0625,17.9375,16.375,16.5,354000,0.014760415583120674
2001-02-02 00:00:00-05:00,15.875,17.25,14.75,17.1875,392600,-0.07213752816642312
2001-02-05 00:00:00-05:00,16.125,17.9375,16.0625,16.625,579600,0.015625317903080815
2001-02-06 00:00:00-05:00,16.9375,17.25,16.25,16.625,536400,0.04915923595808356
2001-02-07 00:00:00-05:00,13.375,14.5625,13.0,14.4375,1216900,-0.23614280585784947
2001-02-08 00:00:00-05:00,11.8125,13.5625,11.5,13.5,841800,-0.12422899996220906
2001-02-09 00:00:00-05:00,10.25,11.5,10.0625,11.25,1321400,-0.141880587235444
2001-02-12 00:00:00-05:00,10.375,10.75,10.1875,10.1875,501300,0.01212136053234482
2001-02-13 00:00:00-05:00,10.6875,11.4375,10.5,10.6875,500700,0.02967576814611654
2001-02-14 00:00:00-05:00,10.515625,10.875,10.1875,10.625,294300,-0.01621258797782267
2001-02-15 00:00:00-05:00,11.0625,11.4375,11.0,11.25,353100,0.05069876404899199
2001-02-16 00:00:00-05:00,10.25,10.75,10.125,10.625,377900,-0.0762833047496307
2001-02-20 00:00:00-05:00,10.125,10.75,10.0,10.75,305600,-0.01227009259181436
2001-02-21 00:00:00-05:00,9.5,10.25,9.4375,10.125,501000,-0.06371581438610774
2001-02-22 00:00:00-05:00,9.0625,9.5,8.8125,9.5,419000,-0.04714677842570196
